Result Number,Satellite,Date,Beam Mode,Polarization,Type,Image Info,Metadata,Download Link,Sequence ID,Footprint
248,RADARSAT-1,2011-09-03T18:41:04 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4796658" "relatedProducts":[{"values":["SCW" "Sea" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2011/9/RS1_RA614327_SCWA_20110903_223836_HH_SCW.tif,4796658,-78.665464 55.013175 -69.945292 55.944842 -72.154617 64.585722 -83.408011 63.545992 -78.665464 55.013175 
249,RADARSAT-1,2011-09-02T07:40:36 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4796661" "relatedProducts":[{"values":["SCW" "Sea" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2011/9/RS1_RA614236_SCWA_20110902_114036_HH_SCW.tif,4796661,-74.239486 60.204042 -84.562675 61.230164 -86.814058 51.775358 -78.712439 50.831444 -74.239486 60.204042 
250,RADARSAT-1,2011-08-30T18:56:44 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4796259" "relatedProducts":[{"values":["SCW" "Sea" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2011/8/RS1_RA614180_SCWA_20110830_225406_HH_SCW.tif,4796259,-81.054289 50.552183 -73.179619 51.465147 -75.342697 60.722175 -85.294672 59.738972 -81.054289 50.552183 
251,RADARSAT-1,2011-08-29T07:57:38 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4796540" "relatedProducts":[{"values":["SCW" "Sea" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2011/8/RS1_RA613392_SCWA_20110829_115738_HH_SCW.tif,4796540,-79.151728 59.402867 -89.017636 60.385764 -90.205194 55.489047 -81.557639 54.552525 -79.151728 59.402867 
252,RADARSAT-1,2011-08-27T18:44:12 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4796526" "relatedProducts":[{"values":["SCW" "Sea" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2011/8/RS1_RA613770_SCWA_20110827_224252_HH_SCW.tif,4796526,-79.921689 55.341719 -71.166367 56.277356 -72.324142 60.961536 -82.288000 59.978097 -79.921689 55.341719 
253,RADARSAT-1,2011-08-26T19:13:25 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4796391" "relatedProducts":[{"values":["SCW" "Sea" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2011/8/RS1_RA613487_SCWA_20110826_231059_HH_SCW.tif,4796391,-85.389586 50.921053 -77.469150 51.833536 -79.454592 60.329694 -89.270717 59.353339 -85.389586 50.921053 
254,RADARSAT-1,2011-08-26T07:44:39 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4796498" "relatedProducts":[{"values":["SCW" "Sea" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2011/8/RS1_RA613423_SCWA_20110826_114439_HH_SCW.tif,4796498,-75.059281 60.716014 -85.512122 61.742217 -87.738761 52.466275 -79.541353 51.525317 -75.059281 60.716014 
255,RADARSAT-1,2011-08-23T19:02:01 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4795941" "relatedProducts":[{"values":["SCW" "Sea" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2011/8/RS1_RA613297_SCWA_20110823_225921_HH_SCW.tif,4795941,-83.604825 54.182178 -75.022933 55.114806 -77.376378 64.406875 -88.609106 63.362569 -83.604825 54.182178 
256,RADARSAT-1,2011-08-13T18:51:16 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4796100" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2011/8/RS1_B0613104_SCWA_20110813_225116_HH_SCW01F.tif,4796100,-81.899379 55.040607 -73.251695 55.969958 -74.436826 60.777374 -84.300030 59.800530 -81.899379 55.040607 
257,RADARSAT-1,2011-08-13T18:50:01 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4796110" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2011/8/RS1_A0613104_SCWA_20110813_225001_HH_SCW01F.tif,4796110,-80.066083 50.652871 -72.287219 51.556523 -73.382022 56.386113 -82.089294 55.455901 -80.066083 50.652871 
258,RADARSAT-1,2011-08-06T07:28:24 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4795899" "relatedProducts":[{"values":["SCW" "Sea" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2011/8/RS1_RA612848_SCWA_20110806_112824_HH_SCW.tif,4795899,-71.742758 59.199042 -81.725978 60.206297 -83.925594 50.769069 -76.019197 49.832983 -71.742758 59.199042 
259,RADARSAT-1,2011-08-05T07:57:08 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4795886" "relatedProducts":[{"values":["SCW" "Sea" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2011/8/RS1_RA612501_SCWA_20110805_115708_HH_SCW.tif,4795886,-77.919697 61.522153 -88.509900 62.541042 -90.278669 55.427892 -81.603206 54.486983 -77.919697 61.522153 
260,RADARSAT-1,2011-08-03T18:45:27 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4795789" "relatedProducts":[{"values":["SCW" "Sea" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2011/8/RS1_RA612471_SCWA_20110803_224251_HH_SCW.tif,4795789,-79.724794 54.886000 -70.990067 55.821414 -73.317872 64.911197 -84.753947 63.859572 -79.724794 54.886000 
261,RADARSAT-1,2011-08-03T07:14:27 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4795860" "relatedProducts":[{"values":["SCW" "Sea" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2011/8/RS1_RA612465_SCWA_20110803_111427_HH_SCW.tif,4795860,-65.683050 63.872731 -77.349239 64.959508 -79.703067 55.865758 -70.793556 54.902703 -65.683050 63.872731 
262,RADARSAT-1,2011-08-02T19:13:31 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4795663" "relatedProducts":[{"values":["SCW" "Sea" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2011/8/RS1_RA612730_SCWA_20110802_231052_HH_SCW.tif,4795663,-85.141114 50.078850 -77.366817 50.990081 -79.523339 60.245686 -89.308425 59.267708 -85.141114 50.078850 
263,RADARSAT-1,2011-08-02T07:45:05 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4795853" "relatedProducts":[{"values":["SCW" "Sea" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2011/8/RS1_RA612712_SCWA_20110802_114505_HH_SCW.tif,4795853,-75.750811 59.605081 -85.830917 60.613597 -88.005736 51.357761 -80.019731 50.422964 -75.750811 59.605081 
264,RADARSAT-1,2011-07-30T19:00:05 +0000,ScanSAR Narrow A (W1 W2),HH,SCN,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4796266" "relatedProducts":[{"values":["SCN" "Ice" "25.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2011/7/RS1_A0612656_SCNA_20110730_230005_HH_SCN01F.tif,4796266,-84.654443 56.394904 -79.082906 57.060730 -80.077740 59.907172 -86.098698 59.214280 -84.654443 56.394904 
265,RADARSAT-1,2011-07-26T07:50:04 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4796327" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2011/7/RS1_D0612367_SCWA_20110726_115004_HH_SCW01F.tif,4796327,-78.577677 56.968083 -87.541005 57.893597 -88.212140 55.042166 -79.877754 54.137672 -78.577677 56.968083 
266,RADARSAT-1,2011-07-19T07:54:17 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4708820" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2011/7/RS1_C0612164_SCWA_20110719_115417_HH_SCW01F.tif,4708820,-79.665330 56.826896 -88.635756 57.755838 -89.271108 55.049267 -80.897761 54.140237 -79.665330 56.826896 
267,RADARSAT-1,2011-07-19T07:53:05 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4795653" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2011/7/RS1_B0612164_SCWA_20110719_115305_HH_SCW01F.tif,4795653,-77.345956 60.970624 -87.601225 61.961989 -88.813433 57.144081 -79.878159 56.206949 -77.345956 60.970624 
268,RADARSAT-1,2011-07-17T18:38:35 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4795645" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2011/7/RS1_A0611597_SCWA_20110717_223835_HH_SCW01F.tif,4795645,-78.567403 54.714196 -70.014594 55.636003 -71.184234 60.436067 -80.921905 59.469465 -78.567403 54.714196 
269,RADARSAT-1,2011-07-16T19:07:43 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4795441" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2011/7/RS1_A0611996_SCWA_20110716_230743_HH_SCW01F.tif,4795441,-85.536044 53.839909 -77.175413 54.755713 -78.327689 59.565867 -87.810118 58.609757 -85.536044 53.839909 
270,RADARSAT-1,2011-07-16T07:41:41 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4795603" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2011/7/RS1_C0611555_SCWA_20110716_114141_HH_SCW01F.tif,4795603,-76.533772 56.791272 -85.493970 57.719615 -86.192585 54.733446 -77.884180 53.826565 -76.533772 56.791272 
271,RADARSAT-1,2011-07-16T07:40:26 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4795602" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2011/7/RS1_B0611555_SCWA_20110716_114026_HH_SCW01F.tif,4795602,-74.108739 61.118610 -84.412535 62.111996 -85.631616 57.283108 -76.663671 56.344999 -74.108739 61.118610 
272,RADARSAT-1,2011-07-13T18:55:10 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4795540" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2011/7/RS1_A0611900_SCWA_20110713_225510_HH_SCW01F.tif,4795540,-82.481367 54.060081 -74.074517 54.977429 -75.231858 59.786165 -84.776065 58.827361 -82.481367 54.060081 
273,RADARSAT-1,2011-07-13T07:29:12 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4795458" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2011/7/RS1_C0611877_SCWA_20110713_112912_HH_SCW01F.tif,4795458,-73.587245 56.363664 -82.442429 57.288176 -83.125655 54.345999 -74.896537 53.441492 -73.587245 56.363664 
274,RADARSAT-1,2011-07-13T07:27:57 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4795469" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2011/7/RS1_B0611877_SCWA_20110713_112757_HH_SCW01F.tif,4795469,-71.216914 60.681903 -81.375398 61.668648 -82.579460 56.848834 -73.715592 55.914448 -71.216914 60.681903 
275,RADARSAT-1,2011-07-12T07:58:09 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4795503" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2011/7/RS1_C0611850_SCWA_20110712_115809_HH_SCW01F.tif,4795503,-80.188119 57.823409 -89.441398 58.765764 -90.299865 55.149004 -81.876231 54.235559 -80.188119 57.823409 
276,RADARSAT-1,2011-07-10T18:42:39 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4795451" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2011/7/RS1_A0611281_SCWA_20110710_224239_HH_SCW01F.tif,4795451,-79.479794 54.408505 -70.988440 55.328860 -72.150701 60.130339 -81.804697 59.166803 -79.479794 54.408505 
277,RADARSAT-1,2011-07-09T07:45:54 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4795501" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2011/7/RS1_C0611424_SCWA_20110709_114554_HH_SCW01F.tif,4795501,-77.586233 56.586654 -86.567203 57.524165 -87.681415 52.678364 -79.698288 51.771738 -77.586233 56.586654 
278,RADARSAT-1,2011-07-09T07:44:38 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4795489" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2011/7/RS1_B0611424_SCWA_20110709_114438_HH_SCW01F.tif,4795489,-75.263807 60.927256 -85.497424 61.917500 -86.708754 57.101853 -77.789755 56.165546 -75.263807 60.927256 
279,RADARSAT-1,2011-07-06T07:33:32 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4795355" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2011/7/RS1_C0611134_SCWA_20110706_113332_HH_SCW01F.tif,4795355,-74.850093 55.658620 -83.629144 56.590952 -84.813805 51.343055 -77.047293 50.439368 -74.850093 55.658620 
280,RADARSAT-1,2011-07-06T07:32:17 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4795354" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2011/7/RS1_B0611134_SCWA_20110706_113217_HH_SCW01F.tif,4795354,-72.653376 59.994724 -82.585214 60.971230 -83.771188 56.151040 -75.074776 55.222675 -72.653376 59.994724 
281,RADARSAT-1,2011-07-03T18:47:07 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4795290" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2011/7/RS1_B0611017_SCWA_20110703_224707_HH_SCW01F.tif,4795290,-81.061396 55.518149 -72.306385 56.450926 -73.497159 61.232521 -83.498627 60.249813 -81.061396 55.518149 
282,RADARSAT-1,2011-07-03T18:45:51 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4795282" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2011/7/RS1_A0611017_SCWA_20110703_224551_HH_SCW01F.tif,4795282,-79.192017 51.120128 -71.330989 52.025587 -72.430810 56.843990 -81.244106 55.910223 -79.192017 51.120128 
283,RADARSAT-1,2011-07-03T07:21:00 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4795301" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2011/7/RS1_D0611088_SCWA_20110703_112100_HH_SCW01F.tif,4795301,-71.873639 55.398037 -80.538922 56.320490 -81.610347 51.567631 -73.854648 50.670464 -71.873639 55.398037 
284,RADARSAT-1,2011-07-03T07:19:45 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4795295" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2011/7/RS1_C0611088_SCWA_20110703_111945_HH_SCW01F.tif,4795295,-69.674569 59.745785 -79.490414 60.713964 -80.673907 55.876279 -72.072198 54.954495 -69.674569 59.745785 
285,RADARSAT-1,2011-07-02T19:16:13 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4795294" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2011/7/RS1_B0611398_SCWA_20110702_231613_HH_SCW01F.tif,4795294,-87.938172 54.520302 -79.472326 55.439580 -80.646058 60.232237 -90.273180 59.268789 -87.938172 54.520302 
286,RADARSAT-1,2011-07-02T19:14:57 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4795280" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2011/7/RS1_A0611398_SCWA_20110702_231457_HH_SCW01F.tif,4795280,-86.194359 50.128121 -78.510965 51.031570 -79.599155 55.848766 -88.178915 54.920356 -86.194359 50.128121 
287,RADARSAT-1,2011-06-29T19:03:36 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4795214" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2011/6/RS1_B0611266_SCWA_20110629_230336_HH_SCW01F.tif,4795214,-84.810387 54.585526 -76.333974 55.504886 -77.509211 60.296187 -87.150958 59.332345 -84.810387 54.585526 
288,RADARSAT-1,2011-06-29T19:02:21 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4795210" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2011/6/RS1_A0611266_SCWA_20110629_230221_HH_SCW01F.tif,4795210,-83.057704 50.188836 -75.370039 51.091709 -76.459288 55.908888 -85.045842 54.980879 -83.057704 50.188836 
289,RADARSAT-1,2011-06-16T07:15:56 +0000,ScanSAR Wide A (W1 W2 W3 S7),HH,SCW,{"headers":["Product Type" "LUT_APPLIED" "Sampled Pixel Spacing (Panchromatic)" "Product Format" "Geodetic Terrain Height"] "imageID":"4766110" "relatedProducts":[{"values":["SCW" "Ice" "50.0" "CEOS" "0.0"]}] "collectionID":"Radarsat1"},dummy value,https://radarsat-r1-l1-cog.s3.ca-central-1.amazonaws.com/2011/6/RS1_A0610619_SCWA_20110616_111556_HH_SCW01F.tif,4766110,-69.494409 57.891814 -78.895870 58.851595 -79.925749 54.487142 -71.521745 53.562122 -69.494409 57.891814 
